,Food Name,Water (g),Energy (kal),Protein (g),lipid (g),Carbohydrate (g),Fiber (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (µg),Cu (mg),Mn (mg),Vc (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),B6 (mg),"Folate,DFE (µg)",B12 (µg),"Va,RAE (µg)",Ve (mg),saturated (g),monounsaturated (g),polyunsaturated (g),trans (g),Cholesterol (mg),Caffeine (mg),phenolics (mg),pH,Plain Occurences,Cool Occurences,Warm Occurences,Cold Occurences,Heavy Cold Occurences,Heavy Warm Occurences,Hot Occurences,Heavy Hot Occurences,% Plain,% Cool,% Warm,% Cold,% Heavy Cold,% Heavy Warm,% Hot,% Heavy Hot,hot_cold_scale,Plain,Cold,Hot,Mode
10,Mandarin fish ,0.7468962755306368,0.1323529411764706,0.36715867158671583,0.042,0.0,0.0,0.015030060120240482,0.052675585284280936,0.01026694045174538,0.040973111395646605,0.12939773404889685,0.024827470122874937,0.0017699571701326176,0.027226463104325704,0.21984225819842257,0.010011123470522803,0.0017574692442882246,0.003872164948453606,7.45656550592797e-07,0.0003398058252427185,0.17355493454919843,0.08049385749385742,0.02583255086071985,0.08667499999999999,0.010135135135135136,0.0174,0.005321073579805462,0.009482268158543522,0.007194244604316546,0.004794061032863852,0.14027149321266968,0.0,0.0,0.564318181818182,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
11,Silverfish,0.7629154985983181,0.11877828054298642,0.3173431734317343,0.04,0.0,0.0,0.026052104208416835,0.038461538461538464,0.009240246406570842,0.03201024327784891,0.01311866428145498,0.020703585255007574,0.00022188967438980338,0.004071246819338422,0.07903694479036945,0.014115684093437162,0.005272407732864675,0.036086597938144345,1.1184848258891954e-06,0.00024271844660194176,0.06284983085747906,0.04914004914004914,0.03900181533646323,0.079385,0.08667001689189188,0.037200000000000004,0.010642147159610925,0.017384158290663126,0.03597122302158273,0.05730654929577462,0.4083710407239819,0.0,0.0,0.6027386363636364,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
12,Black carp,0.7398878654385264,0.1334841628959276,0.3708487084870849,0.042,0.0,0.0,0.02404809619238477,0.025919732441471572,0.009240246406570842,0.040973111395646605,0.10971973762671437,0.02735229759299781,0.0012229733216368233,0.024427480916030534,0.31274387712743873,0.005561735261401557,0.002636203866432337,0.004775257731958762,1.1184848258891954e-06,0.0003398058252427185,0.08530666274452126,0.051810810810810785,0.018208137715179942,0.24519000000000002,0.03547297297297297,0.016200000000000003,0.015963220739416386,0.020544914343510967,0.009592326139088728,0.005779542253521127,0.12217194570135746,0.0,0.0,0.5454545454545454,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
13,Crucian,0.7869443331998398,0.10067873303167421,0.33210332103321033,0.016,0.007136303394841471,0.0,0.01002004008016032,0.06605351170568562,0.013347022587268994,0.052496798975672214,0.172927847346452,0.02580541996296921,0.0010630063470767326,0.013486005089058525,0.19045246990452472,0.0,0.005094639718804917,0.015777319587628867,2.982626202371188e-06,0.00029126213592233006,0.07001029563171055,0.02457002457002457,0.02976995305164316,0.07434000000000002,0.017710810810810808,0.0068000000000000005,0.005321073579805462,0.012643024211391365,0.011990407673860911,0.0003322300469483569,0.023755656108597284,0.0,0.0,0.5718977272727273,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
14,Pork,0.6488786543852624,0.19457013574660634,0.5619926199261992,0.0462,0.0,0.0,0.008016032064128258,0.006688963210702341,0.008624229979466118,0.03329065300896287,0.17471675611210494,0.03282275711159737,0.002244697868827081,0.059033078880407125,0.06890826068908261,0.0,0.02368189806678384,0.0,2.449481768697338e-05,0.0011310679611650485,0.31916458302691575,0.14226044226044224,0.0,0.041499999999999995,0.002533783783783784,0.0046,0.01898559053274589,0.03339338769833744,0.016282973621103116,1.995305164319249e-05,0.07805429864253394,0.0,0.0,0.4999999999999999,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
15,"Milk, human",0.8760512615138166,0.07918552036199095,0.01900369003690037,0.0438,0.07024161484351106,0.0,0.003006012024048096,0.026755852842809364,0.00030800821355236136,0.0038412291933418692,0.008348240906380441,0.004292206699208888,0.00043861912379379743,0.004325699745547074,0.01067616438356164,0.0022246941045606225,0.006583304042179264,0.020618556701030927,5.219595854149579e-07,0.00017475728155339805,0.005206648036475953,0.0027027027027027024,0.00782472613458529,0.0025,0.05152027027027027,0.0016,0.021380073643658345,0.0262026676781086,0.011918465227817745,0.0003191079812206573,0.01583710407239819,0.0,0.0,0.6022727272727272,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
16,pigeon,0.5666800160192231,0.332579185520362,0.3407749077490774,0.23800000000000002,0.0,0.0,0.01002004008016032,0.010033444816053512,0.036344969199178644,0.028169014084507043,0.14788312462731068,0.016748022218481737,0.001393260746168533,0.055979643765903316,0.09921129099211291,0.008898776418242492,0.002636203866432337,0.021443298969072166,7.903959436283647e-06,0.001087378640776699,0.17784968377702606,0.10073710073710072,0.009389671361502348,0.02,0.06165540540540541,0.04763399999999998,0.08971330055552008,0.1536127441684051,0.07362110311750598,0.0006928403755868534,0.1074660633484163,0.0,0.0,0.6136363636363635,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
17,"Quail, meat",0.7011413696435723,0.1515837104072398,0.4014760147601476,0.0453,0.0,0.0,0.014028056112224449,0.010869565217391304,0.04630390143737166,0.03201024327784891,0.1830649970184854,0.019946137013970713,0.0013158573713813921,0.06870229007633588,0.10106351183063507,0.008142380422691876,0.01462732864674867,0.029690721649484535,1.0551040190888076e-05,0.0013834951456310677,0.24121194293278422,0.13022113022113022,0.010954616588419406,0.0235,0.014358108108108109,0.015664000000000008,0.01404763425068642,0.020228838738226184,0.028057553956834527,0.000335762910798122,0.07918552036199095,0.0,0.0,0.6022727272727272,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
18,Honey,0.17120544653584302,0.3438914027149321,0.005535055350553505,0.0,0.8400448567641962,0.0037593984962406013,0.004008016032064129,0.005016722408026756,0.004312114989733059,0.002560819462227913,0.002385211687537269,0.00437636761487965,0.00010320449971618763,0.005597964376590331,0.0010792860107928601,0.0022246941045606225,0.005272407732864675,0.002061855670103093,0.0,0.00018446601941747573,0.0035593469627886454,0.005896805896805897,0.003129890453834116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012095808383233533,0.3068181818181818,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
19,"Oil, peanut",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00030800821355236136,0.0,0.0,0.0,0.0,0.0002544529262086514,0.00921544209215442,0.028049388209121257,0.004393673110720562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31379999999999997,0.1798522869974246,0.7301346482078513,0.7673860911270983,0.0,0.0,0.0,0.0004066646706586834,0.6590909090909091,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
